Date,Unemployment [Thousands of persons],Labor force [Thousands of persons],Vacancies [Thousands of vacancies]
1929-04-01,   34661.09,   50233.47,  100722.05
1929-05-01,   82956.82,   50276.86,   98046.59
1929-06-01,  103659.74,   50320.26,   96290.51
1929-07-01,   39787.29,   50363.66,   98913.04
1929-08-01,    2016.28,   50407.05,   92839.07
1929-09-01,   45911.53,   50452.24,  106919.50
1929-10-01,  116649.04,   50497.42,   97401.83
1929-11-01,   95525.51,   50542.60,   81693.48
1929-12-01,  105222.59,   50587.78,   76596.55
1930-01-01,  111898.85,   50632.96,   64659.86
1930-02-01,  158115.82,   50678.15,   65605.00
1930-03-01,  184125.68,   50723.33,   62496.74
1930-04-01,  182766.64,   50768.51,   62329.22
1930-05-01,  172258.42,   50813.69,   59770.72
1930-06-01,  191737.96,   50858.87,   57378.93
1930-07-01,  255538.36,   50904.06,   53780.88
1930-08-01,  338302.94,   50949.24,   53779.29
1930-09-01,  397153.33,   50982.46,   50910.90
1930-10-01,  459651.22,   51015.67,   49224.31
1930-11-01,  550307.04,   51048.89,   50111.86
1930-12-01,  607366.26,   51082.11,   48668.25
1931-01-01,  571469.34,   51115.33,   49235.13
1931-02-01,  596903.49,   51148.54,   50834.80
1931-03-01,  602921.13,   51181.76,   51138.20
1931-04-01,  611506.83,   51214.98,   49257.06
1931-05-01,  630352.79,   51248.19,   46105.87
1931-06-01,  667683.98,   51281.41,   43572.28
1931-07-01,  710194.47,   51314.63,   44181.85
1931-08-01,  770731.18,   51347.85,   42561.24
1931-09-01,  813273.73,   51375.47,   38803.59
1931-10-01,  861001.90,   51403.10,   36850.87
1931-11-01,  923181.50,   51430.72,   40594.93
1931-12-01,  982854.49,   51458.35,   40620.72
1932-01-01,  928807.01,   51485.98,   37540.89
1932-02-01,  961243.82,   51513.60,   38507.58
1932-03-01, 1019485.49,   51541.23,   35723.01
1932-04-01, 1084493.00,   51568.85,   31155.06
1932-05-01, 1152665.36,   51596.48,   30918.24
1932-06-01, 1224523.79,   51624.11,   31108.36
1932-07-01, 1267533.50,   51651.73,   29814.15
1932-08-01, 1293017.53,   51679.36,   30128.91
1932-09-01, 1284864.94,   51704.83,   30730.14
1932-10-01, 1283945.93,   51730.30,   33151.36
1932-11-01, 1276814.71,   51755.76,   31210.43
1932-12-01, 1304887.07,   51781.23,   30801.73
1933-01-01, 1228854.97,   51806.70,   31028.64
1933-02-01, 1245527.06,   51832.17,   30004.24
1933-03-01, 1315109.74,   51857.64,   24644.67
1933-04-01, 1322500.43,   51883.11,   30075.56
1933-05-01, 1328340.49,   51908.58,   30882.95
1933-06-01, 1300428.51,   51934.05,   34031.60
1933-07-01, 1238714.83,   51959.51,   34414.87
1933-08-01, 1167062.88,   51984.98,   35598.51
1933-09-01, 1117226.54,   52012.41,   31891.07
1933-10-01, 1106366.88,   52039.83,   33185.65
1933-11-01, 1108511.96,   52067.26,   32867.17
1933-12-01, 1097635.02,   52094.69,   32673.55
1934-01-01,  979895.68,   52122.11,   35558.11
1934-02-01,  933476.69,   52149.54,   35342.58
1934-03-01,  877094.72,   52176.96,   34235.77
1934-04-01,  868681.00,   52204.39,   35496.95
1934-05-01,  885851.54,   52231.81,   35889.85
1934-06-01,  924465.91,   52259.24,   32680.39
1934-07-01,  982466.40,   52286.66,   32674.79
1934-08-01, 1060406.57,   52314.09,   31412.78
1934-09-01, 1125926.40,   52344.32,   31565.50
1934-10-01, 1128147.99,   52374.56,   31790.94
1934-11-01, 1121986.64,   52404.79,   33136.28
1934-12-01, 1071771.99,   52435.03,   34702.43
1935-01-01,  938078.92,   52465.26,   34101.29
1935-02-01,  918671.24,   52495.50,   34164.79
1935-03-01,  921301.38,   52525.73,   35682.61
1935-04-01,  922357.27,   52555.97,   35605.05
1935-05-01,  934456.86,   52586.20,   34322.40
1935-06-01,  954462.22,   52616.44,   35685.04
1935-07-01,  932899.08,   52646.68,   37207.39
1935-08-01,  936068.69,   52676.91,   36685.53
1935-09-01,  970291.86,   52704.61,   40873.06
1935-10-01,  920178.79,   52732.31,   40526.01
1935-11-01,  886368.13,   52760.01,   41177.04
1935-12-01,  867829.91,   52787.71,   42549.05
1936-01-01,  790118.48,   52815.41,   40551.53
1936-02-01,  797930.90,   52843.11,   41701.36
1936-03-01,  785660.16,   52870.80,   49341.40
1936-04-01,  823629.71,   52898.50,   47439.55
1936-05-01,  776427.40,   52926.20,   52077.87
1936-06-01,  786365.45,   52953.90,   53052.14
1936-07-01,  754987.83,   52981.60,   52479.47
1936-08-01,  713505.19,   53009.30,   54031.08
1936-09-01,  705908.10,   53035.92,   55014.66
1936-10-01,  732793.68,   53062.54,   54181.04
1936-11-01,  702900.47,   53089.16,   57042.30
1936-12-01,  678819.66,   53115.78,   56230.08
1937-01-01,  643554.45,   53142.40,   56456.04
1937-02-01,  637496.53,   53169.02,   56018.32
1937-03-01,  623984.83,   53195.64,   56102.59
1937-04-01,  630683.75,   53222.26,   58101.77
1937-05-01,  597984.89,   53248.88,   58559.10
1937-06-01,  612668.21,   53275.50,   56054.69
1937-07-01,  584724.21,   53302.12,   49444.14
1937-08-01,  594082.11,   53328.74,   52468.68
1937-09-01,  620614.44,   53363.24,   52501.37
1937-10-01,  650918.41,   53397.74,   46403.39
1937-11-01,  732021.65,   53432.24,   39477.70
1937-12-01,  850655.81,   53466.74,   34961.80
1938-01-01,  903100.91,   53501.24,   36070.80
1938-02-01,  957219.03,   53535.74,   35047.11
1938-03-01,  990513.75,   53570.24,   34291.40
1938-04-01, 1016345.89,   53604.74,   32999.39
1938-05-01, 1058838.63,   53639.24,   32046.31
1938-06-01, 1073474.85,   53673.74,   31633.20
1938-07-01, 1051607.40,   53708.24,   34084.53
1938-08-01, 1030785.83,   53742.74,   34797.62
1938-09-01, 1000291.83,   53779.13,   34552.44
1938-10-01,  980518.73,   53815.52,   36328.05
1938-11-01,  923021.63,   53851.90,   37897.30
1938-12-01,  881612.43,   53888.29,   36983.58
1939-01-01,  949613.57,   53924.68,   37513.84
1939-02-01,  940541.34,   53961.06,   36569.39
1939-03-01,  928216.17,   53997.45,   38551.72
1939-04-01,  939648.43,   54033.84,   38109.35
1939-05-01,  913786.78,   54070.22,   37283.63
1939-06-01,  881396.68,   54106.61,   39094.11
1939-07-01,  876033.69,   54143.00,   38987.22
1939-08-01,  855492.47,   54179.38,   38674.06
1939-09-01,  825262.71,   54222.25,   39172.84
1939-10-01,  840024.12,   54265.12,   44102.71
1939-11-01,  841230.84,   54307.99,   42415.26
1939-12-01,  825589.64,   54350.86,   42905.42
1940-01-01,  844734.71,   54393.74,   43720.92
1940-02-01,  853021.61,   54436.61,   44904.53
1940-03-01,  818826.52,   54479.48,   41340.34
1940-04-01,  862543.52,   54522.35,   40403.34
1940-05-01,  845760.86,   54565.22,   41263.88
1940-06-01,  730656.20,   54608.09,   42326.63
1940-07-01,  771125.00,   54650.96,   40832.72
1940-08-01,  817125.78,   54693.83,   41201.09
1940-09-01,  729109.95,   54737.98,   48452.60
1940-10-01,  808584.40,   54782.14,   47100.00
1940-11-01,  781274.75,   54826.30,   48594.98
1940-12-01,  735812.80,   54870.46,   52648.39
1941-01-01,  666114.24,   54914.61,   56304.04
1941-02-01,  644116.77,   54958.77,   59782.87
1941-03-01,  652334.70,   55002.93,   61976.73
1941-04-01,  673776.29,   55047.08,   67318.27
1941-05-01,  601045.43,   55091.24,   70699.91
1941-06-01,  542532.30,   55135.40,   75040.30
1941-07-01,  507651.89,   55179.55,   77679.89
1941-08-01,  526281.96,   55223.71,   76886.45
1941-09-01,  497465.78,   55273.98,   76596.70
1941-10-01,  431529.07,   55324.24,   73328.84
1941-11-01,  408110.10,   55374.51,   74946.60
1941-12-01,  382985.16,   55424.77,   77875.57
1942-01-01,  388325.24,   55475.03,   79956.59
1942-02-01,  372574.76,   55525.30,   83101.70
1942-03-01,  352349.08,   55575.56,   91110.29
1942-04-01,  319848.52,   55625.83,  100391.98
1942-05-01,  275039.91,   55676.09,  103738.36
1942-06-01,  254669.46,   55726.36,  103512.72
1942-07-01,  241512.78,   55776.62,  109862.71
1942-08-01,  208792.56,   55826.89,  128739.03
1942-09-01,  182207.06,   55891.74,  148858.93
1942-10-01,  180739.76,   55956.58,  157073.49
1942-11-01,  174786.86,   56021.43,  171702.63
1942-12-01,  161528.48,   56086.28,  166837.49
1943-01-01,  134762.70,   56151.13,  175653.46
1943-02-01,  133231.86,   56215.97,  193511.83
1943-03-01,  113687.26,   56280.82,  200785.55
1943-04-01,  108747.14,   56345.67,  202688.26
1943-05-01,  102667.14,   56410.51,  205642.71
1943-06-01,  117468.75,   56475.36,  208010.52
1943-07-01,  122126.85,   56540.21,  213237.29
1943-08-01,  102455.15,   56605.06,  219973.50
1943-09-01,   96892.45,   56662.25,  212250.80
1943-10-01,   91885.51,   56719.45,  213242.55
1943-11-01,   79487.30,   56776.64,  214423.90
1943-12-01,   76725.68,   56833.84,  232995.93
1944-01-01,   76802.90,   56891.04,  233504.52
1944-02-01,   67198.91,   56948.23,  247571.37
1944-03-01,   72396.89,   57005.43,  246627.68
1944-04-01,   69616.40,   57062.62,  244731.73
1944-05-01,   81110.14,   57119.82,  268419.04
1944-06-01,   82334.90,   57177.01,  270136.97
1944-07-01,   80700.23,   57234.21,  215465.16
1944-08-01,   68749.69,   57291.40,  223752.57
1944-09-01,   68239.61,   57344.21,  232007.23
1944-10-01,   52231.29,   57397.02,  263569.56
1944-11-01,   56875.33,   57449.83,  277681.94
1944-12-01,   57502.64,   57502.64,  290223.38
1945-01-01,   60433.22,   57555.45,  287754.73
1945-02-01,   63369.08,   57608.26,  282313.40
1945-03-01,   61697.34,   57661.06,  279027.73
1945-04-01,   58868.15,   57713.87,  284065.93
1945-05-01,   60655.02,   57766.68,  278529.16
1945-06-01,   84994.65,   57819.49,  283520.32
1945-07-01,   89123.34,   57872.30,  310337.66
1945-08-01,   87466.91,   57925.11,  271812.96
1945-09-01,  197116.66,   57975.49,  239648.52
1945-10-01,  193226.13,   58025.87,  229109.41
1945-11-01,  205009.15,   58076.25,  228036.75
1945-12-01,  227856.37,   58126.63,  220485.20
1946-01-01,  230380.94,   58177.00,  218629.75
1946-02-01,  230580.44,   58227.38,  201218.66
1946-03-01,  245349.38,   58277.76,  210639.07
1946-04-01,  227479.76,   58328.14,  213036.86
1946-05-01,  248692.50,   58378.52,  189886.83
1946-06-01,  234884.18,   58428.90,  212369.65
1946-07-01,  207016.65,   58479.28,  223846.90
1946-08-01,  218315.63,   58529.66,  209789.92
1946-09-01,  232737.66,   58624.10,  207077.67
1946-10-01,  234874.12,   58718.53,  199800.10
1946-11-01,  232899.35,   58812.97,  195263.62
1946-12-01,  245054.79,   58907.40,  190265.31
1947-01-01,  218715.99,   59001.84,  188420.89
1947-02-01,  204592.59,   59096.27,  190437.86
1947-03-01,  205628.80,   59190.71,  184599.35
1947-04-01,  232947.66,   59285.14,  178035.00
1947-05-01,  207022.64,   59379.58,  176291.13
